stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01657] added dtor for sub_bitmap 0000013FD1CD48E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01665] added dtor for sub_bitmap 0000013FD1CD4EB0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01671] added dtor for sub_bitmap 0000013FD1CD4AD0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01678] added dtor for sub_bitmap 0000013FD1CD5290, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01686] added dtor for sub_bitmap 0000013FD1CD5480, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01694] added dtor for sub_bitmap 0000013FD1CD7710, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01700] added dtor for sub_bitmap 0000013FD1CD8A70, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01707] added dtor for sub_bitmap 0000013FD1CD7900, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01713] added dtor for sub_bitmap 0000013FD1CD9040, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01719] added dtor for sub_bitmap 0000013FD1CD7140, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01726] added dtor for sub_bitmap 0000013FD1CD7520, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01734] added dtor for sub_bitmap 0000013FD1CD8880, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01740] added dtor for sub_bitmap 0000013FD1CD9230, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01748] added dtor for sub_bitmap 0000013FD1CD99F0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01755] added dtor for sub_bitmap 0000013FD1CD9420, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01763] added dtor for sub_bitmap 0000013FD1CD6D60, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01769] added dtor for sub_bitmap 0000013FD1CD6B70, func 00007FFC8696118B
